geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
New York,Subway,64,37540,60,1
New York,Jimmy Johns,17,2755,16,2
New York,Quiznos,8,500,7,3
New York,Jersey Mikes,8,1973,7,3
New York,Firehouse Subs,4,1200,3,5
New York,Blimpie,3,156,2,6
New York,Schlotzsky's,0,330,0,7
New York,Which Wich,0,431,0,7
New York,Potbelly Sandwich,1,474,0,7
New York,Jason's Deli,1,300,0,7
North Carolina,Subway,54,37540,36,1
North Carolina,Jimmy Johns,41,2755,27,2
North Carolina,Firehouse Subs,18,1200,12,3
North Carolina,Jersey Mikes,18,1973,12,3
North Carolina,Quiznos,8,500,5,5
North Carolina,Which Wich,6,431,4,6
North Carolina,Jason's Deli,3,300,2,7
North Carolina,Blimpie,0,156,0,8
North Carolina,Schlotzsky's,0,330,0,8
North Carolina,Potbelly Sandwich,0,474,0,8
North Dakota,Jimmy Johns,79,2755,36,1
North Dakota,Subway,73,37540,33,2
North Dakota,Firehouse Subs,27,1200,12,3
North Dakota,Quiznos,24,500,11,4
North Dakota,Jersey Mikes,9,1973,4,5
North Dakota,Which Wich,4,431,1,6
North Dakota,Blimpie,0,156,0,7
North Dakota,Schlotzsky's,2,330,0,7
North Dakota,Potbelly Sandwich,0,474,0,7
North Dakota,Jason's Deli,0,300,0,7
Ohio,Subway,71,37540,41,1
Ohio,Jimmy Johns,61,2755,35,2
Ohio,Firehouse Subs,14,1200,8,3
Ohio,Jersey Mikes,14,1973,8,3
Ohio,Quiznos,9,500,5,5
Ohio,Blimpie,1,156,0,6
Ohio,Schlotzsky's,0,330,0,6
Ohio,Which Wich,1,431,0,6
Ohio,Potbelly Sandwich,1,474,0,6
Ohio,Jason's Deli,1,300,0,6
Oklahoma,Subway,62,37540,38,1
Oklahoma,Jimmy Johns,43,2755,27,2
Oklahoma,Firehouse Subs,18,1200,11,3
Oklahoma,Quiznos,13,500,8,4
Oklahoma,Jersey Mikes,10,1973,6,5
Oklahoma,Jason's Deli,7,300,4,6
Oklahoma,Schlotzsky's,4,330,2,7
Oklahoma,Which Wich,2,431,1,8
Oklahoma,Blimpie,0,156,0,9
Oklahoma,Potbelly Sandwich,0,474,0,9
Oregon,Subway,81,37540,34,1
Oregon,Jimmy Johns,72,2755,30,2
Oregon,Quiznos,29,500,12,3
Oregon,Firehouse Subs,24,1200,10,4
Oregon,Jersey Mikes,21,1973,9,5
Oregon,Potbelly Sandwich,3,474,1,6
